,bright_sum,bright_size,bright_density,dark_sum,dark_size,dark_density
290,8430.0,72.0,117.08333333333333,0.0,0.0,
291,32587.0,284.0,114.74295774647888,171157.0,1291.0,132.57707203718047
292,61277.0,521.0,117.61420345489444,0.0,0.0,
293,11362.0,104.0,109.25,0.0,0.0,
294,12565.0,113.0,111.19469026548673,0.0,0.0,
295,4180.0,38.0,110.0,0.0,0.0,
296,12720.0,104.0,122.3076923076923,0.0,0.0,
297,11106.0,99.0,112.18181818181819,0.0,0.0,
298,35194.0,310.0,113.52903225806452,0.0,0.0,
299,6411.0,58.0,110.53448275862068,0.0,0.0,
300,0.0,0.0,,105696.0,720.0,146.8
301,4015.0,34.0,118.08823529411765,0.0,0.0,
302,3690.0,33.0,111.81818181818181,0.0,0.0,
303,4396.0,38.0,115.6842105263158,0.0,0.0,
304,6162.0,53.0,116.26415094339623,0.0,0.0,
305,3804.0,35.0,108.68571428571428,0.0,0.0,
306,14878.0,150.0,99.18666666666667,0.0,0.0,
307,7053.0,65.0,108.50769230769231,0.0,0.0,
308,0.0,0.0,,0.0,0.0,
309,3818.0,34.0,112.29411764705883,0.0,0.0,
310,924.0,8.0,115.5,0.0,0.0,
311,20874.0,184.0,113.44565217391305,0.0,0.0,
312,15643.0,127.0,123.1732283464567,0.0,0.0,
313,112069.0,1209.0,92.69561621174525,216294.0,1907.0,113.42108023072889
314,41354.0,378.0,109.4021164021164,0.0,0.0,
315,45869.0,401.0,114.38653366583542,0.0,0.0,
316,7218.0,58.0,124.44827586206897,0.0,0.0,
317,7118.0,64.0,111.21875,0.0,0.0,
318,9966.0,82.0,121.53658536585365,0.0,0.0,
319,10512.0,81.0,129.77777777777777,0.0,0.0,
320,10535.0,91.0,115.76923076923077,0.0,0.0,
321,23454.0,227.0,103.3215859030837,0.0,0.0,
322,11959.0,116.0,103.09482758620689,0.0,0.0,
323,582817.0,5209.0,111.88654252255711,434092.0,3047.0,142.4653757794552
324,39028.0,346.0,112.79768786127168,0.0,0.0,
325,13581.0,113.0,120.1858407079646,0.0,0.0,
326,12920.0,115.0,112.34782608695652,0.0,0.0,
327,23836.0,202.0,118.0,0.0,0.0,
328,8310.0,68.0,122.20588235294117,0.0,0.0,
329,512109.0,4109.0,124.63105378437577,170092.0,962.0,176.8108108108108
330,51512.0,447.0,115.23937360178971,0.0,0.0,
331,6491.0,56.0,115.91071428571429,0.0,0.0,
332,20817.0,187.0,111.32085561497327,523.0,4.0,130.75
333,5306.0,49.0,108.28571428571429,0.0,0.0,
334,9627.0,82.0,117.40243902439025,0.0,0.0,
335,12162.0,105.0,115.82857142857142,0.0,0.0,
336,2020.0,17.0,118.82352941176471,0.0,0.0,
337,10051.0,87.0,115.52873563218391,0.0,0.0,
338,12576.0,102.0,123.29411764705883,0.0,0.0,
339,4656.0,48.0,97.0,0.0,0.0,
340,28576.0,240.0,119.06666666666666,0.0,0.0,
341,31270.0,250.0,125.08,0.0,0.0,
342,22206.0,180.0,123.36666666666666,0.0,0.0,
343,8855.0,71.0,124.71830985915493,0.0,0.0,
344,17662.0,153.0,115.43790849673202,0.0,0.0,
345,27968.0,236.0,118.50847457627118,133.0,1.0,133.0
346,9763.0,83.0,117.62650602409639,0.0,0.0,
347,8419.0,70.0,120.27142857142857,0.0,0.0,
348,8428.0,74.0,113.89189189189189,0.0,0.0,
349,11321.0,101.0,112.08910891089108,0.0,0.0,
350,3728.0,35.0,106.51428571428572,0.0,0.0,
351,5308.0,40.0,132.7,0.0,0.0,
352,11968.0,106.0,112.90566037735849,0.0,0.0,
353,1867.0,16.0,116.6875,0.0,0.0,
354,9428.0,78.0,120.87179487179488,0.0,0.0,
355,12739.0,119.0,107.05042016806723,0.0,0.0,
356,444601.0,3205.0,138.7210608424337,713557.0,4305.0,165.75075493612079
357,4901.0,40.0,122.525,0.0,0.0,
358,7573.0,67.0,113.02985074626865,0.0,0.0,
359,11828.0,109.0,108.5137614678899,0.0,0.0,
360,14661.0,135.0,108.6,0.0,0.0,
361,66621.0,535.0,124.52523364485981,0.0,0.0,
362,13173.0,117.0,112.58974358974359,0.0,0.0,
363,2713.0,25.0,108.52,0.0,0.0,
364,8273.0,70.0,118.18571428571428,0.0,0.0,
365,7822.0,71.0,110.16901408450704,0.0,0.0,
366,24278.0,210.0,115.60952380952381,0.0,0.0,
367,35655.0,311.0,114.64630225080386,0.0,0.0,
368,45400.0,384.0,118.22916666666667,0.0,0.0,
369,12239.0,101.0,121.17821782178218,0.0,0.0,
370,52558.0,476.0,110.41596638655462,0.0,0.0,
371,11683.0,98.0,119.21428571428571,0.0,0.0,
372,15145.0,119.0,127.26890756302521,0.0,0.0,
373,11088.0,91.0,121.84615384615384,0.0,0.0,
374,12100.0,102.0,118.62745098039215,0.0,0.0,
375,9644.0,78.0,123.64102564102564,0.0,0.0,
376,19674.0,180.0,109.3,0.0,0.0,
377,9944.0,92.0,108.08695652173913,0.0,0.0,
378,20956.0,181.0,115.77900552486187,0.0,0.0,
379,11631.0,98.0,118.68367346938776,0.0,0.0,
380,17614.0,158.0,111.48101265822785,0.0,0.0,
381,152768.0,1414.0,108.03960396039604,20844.0,166.0,125.56626506024097
382,11081.0,98.0,113.07142857142857,0.0,0.0,
383,8557.0,79.0,108.31645569620254,0.0,0.0,
384,6941.0,65.0,106.78461538461538,0.0,0.0,
385,0.0,0.0,,2553.0,18.0,141.83333333333334
386,0.0,0.0,,2862.0,21.0,136.28571428571428
387,0.0,0.0,,3171.0,22.0,144.13636363636363
388,0.0,0.0,,2336.0,18.0,129.77777777777777
389,0.0,0.0,,3676.0,26.0,141.3846153846154
390,0.0,0.0,,269.0,2.0,134.5
391,0.0,0.0,,2176.0,16.0,136.0
392,0.0,0.0,,5087.0,36.0,141.30555555555554
393,0.0,0.0,,4190.0,29.0,144.48275862068965
394,0.0,0.0,,3519.0,25.0,140.76
395,0.0,0.0,,42570.0,308.0,138.21428571428572
396,0.0,0.0,,4266.0,31.0,137.61290322580646
397,7781.0,64.0,121.578125,93714.0,649.0,144.3975346687211
398,0.0,0.0,,4785.0,34.0,140.73529411764707
399,0.0,0.0,,15766.0,106.0,148.73584905660377
400,1808.0,15.0,120.53333333333333,3581.0,25.0,143.24
401,0.0,0.0,,2059.0,15.0,137.26666666666668
402,0.0,0.0,,3782.0,28.0,135.07142857142858
403,0.0,0.0,,1627.0,12.0,135.58333333333334
404,0.0,0.0,,5747.0,39.0,147.35897435897436
405,3745.0,32.0,117.03125,2278.0,17.0,134.0
406,0.0,0.0,,3490.0,26.0,134.23076923076923
407,0.0,0.0,,533.0,4.0,133.25
408,96775.0,753.0,128.51925630810092,252544.0,1758.0,143.65415244596133
409,0.0,0.0,,2019.0,15.0,134.6
